t,v,a,k
39.5,83.93,0.906071,6
39.55,83.9753,0.904935,6
39.6,84.0205,0.9038,6
39.65,84.0657,0.902667,6
39.7,84.1109,0.901535,6
39.75,84.1559,0.900404,6
39.8,84.201,0.899275,6
39.85,84.2459,0.898146,6
39.9,84.2908,0.897019,6
39.95,84.3357,0.895894,6
40,84.3805,0.894769,6
40.05,84.4252,0.893646,6
40.1,84.4699,0.892524,6
40.15,84.5145,0.891403,6
40.2,84.5591,0.890283,6
40.25,84.6036,0.889165,6
40.3,84.6481,0.888048,6
40.35,84.6925,0.886932,6
40.4,84.7368,0.885817,6
40.45,84.7811,0.884704,6
40.5,84.8253,0.883592,6
40.55,84.8695,0.882481,6
40.6,84.9136,0.881372,6
40.65,84.9577,0.880263,6
40.7,85.0017,0.879156,6
40.75,85.0457,0.87805,6
40.8,85.0896,0.876945,6
40.85,85.1334,0.875842,6
40.9,85.1772,0.87474,6
40.95,85.221,0.873639,6
41,85.2646,0.872539,6
41.05,85.3083,0.87144,6
41.1,85.3518,0.870343,6
41.15,85.3954,0.869247,6
41.2,85.4388,0.868152,6
41.25,85.4822,0.867059,6
41.3,85.5256,0.865966,6
41.35,85.5689,0.864875,6
41.4,85.6121,0.863785,6
41.45,85.6553,0.862696,6
41.5,85.6984,0.861609,6
41.55,85.7415,0.860522,6
41.6,85.7846,0.859437,6
41.65,85.8275,0.858353,6
41.7,85.8704,0.857271,6
41.75,85.9133,0.856189,6
41.8,85.9561,0.855109,6
41.85,85.9989,0.85403,6
41.9,86.0416,0.852952,6
41.95,86.0842,0.851876,6
42,86.1268,0.8508,6
42.05,86.1694,0.849726,6
42.1,86.2118,0.848653,6
42.15,86.2543,0.847581,6
42.2,86.2967,0.846511,6
42.25,86.339,0.845441,6
42.3,86.3813,0.844373,6
42.35,86.4235,0.843306,6
42.4,86.4656,0.842241,6
42.45,86.5077,0.841176,6
42.5,86.5498,0.840113,6
42.55,86.5918,0.839051,6
42.6,86.6338,0.83799,6
42.65,86.6757,0.83693,6
42.7,86.7175,0.835871,6
42.75,86.7593,0.834814,6
42.8,86.801,0.833758,6
42.85,86.8427,0.832703,6
42.9,86.8844,0.831649,6
42.95,86.9259,0.830596,6
43,86.9675,0.829545,6
43.05,87.009,0.828495,6
43.1,87.0504,0.827446,6
43.15,87.0918,0.826398,6
43.2,87.1331,0.825351,6
43.25,87.1743,0.824306,6
43.3,87.2156,0.823261,6
43.35,87.2567,0.822218,6
43.4,87.2978,0.821176,6
43.45,87.3389,0.820136,6
43.5,87.3799,0.819096,6
43.55,87.4209,0.818058,6
43.6,87.4618,0.817021,6
43.65,87.5026,0.815985,6
43.7,87.5434,0.81495,6
43.75,87.5842,0.813916,6
43.8,87.6248,0.812883,6
43.85,87.6655,0.811852,6
43.9,87.7061,0.810822,6
43.95,87.7466,0.809793,6
44,87.7871,0.808765,6
44.05,87.8276,0.807738,6
44.1,87.8679,0.806713,6
44.15,87.9083,0.805689,6
